created,id,option__id,option__key,option__value,option__vote,person__bioguideid,person__birthday,person__cspanid,person__firstname,person__gender,person__gender_label,person__id,person__lastname,person__link,person__middlename,person__name,person__namemod,person__nickname,person__osid,person__pvsid,person__sortname,person__twitterid,person__youtubeid,person_role__caucus,person_role__congress_numbers,person_role__current,person_role__description,person_role__district,person_role__enddate,person_role__id,person_role__leadership_title,person_role__party,person_role__person,person_role__phone,person_role__role_type,person_role__role_type_label,person_role__senator_class,person_role__senator_rank,person_role__startdate,person_role__state,person_role__title,person_role__title_long,person_role__website,vote__category,vote__category_label,vote__chamber,vote__chamber_label,vote__congress,vote__created,vote__id,vote__link,vote__missing_data,vote__number,vote__question,vote__question_details,vote__related_amendment,vote__related_bill,vote__required,vote__result,vote__session,vote__source,vote__source_label,vote__total_minus,vote__total_other,vote__total_plus,vote__vote_type,voter_type,voter_type_label
2014-12-11T21:37:00,30539208,444749,+,Yea,116058,A000055,1965-07-22,45516,Robert,male,Male,400004,Aderholt,https://www.govtrack.us/congress/members/robert_aderholt/400004,B.,Rep. Robert Aderholt [R-AL4],,,N00003028,441,"Aderholt, Robert (Rep.) [R-AL4]",Robert_Aderholt,RobertAderholt,,[113],True,Representative for Alabama's 4th congressional district,4,2015-01-03,42682,,Republican,400004,202-225-4876,representative,Representative,,,2013-01-03,AL,Rep.,Representative,http://aderholt.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539210,444749,+,Yea,116058,B000013,1947-12-28,26397,Spencer,male,Male,400010,Bachus,https://www.govtrack.us/congress/members/spencer_bachus/400010,Thomas,Rep. Spencer Bachus [R-AL6],III,,N00008091,26715,"Bachus, Spencer (Rep.) [R-AL6]",BachusAL06,congressmanbachus,,[113],True,Representative for Alabama's 6th congressional district,6,2015-01-03,42685,,Republican,400010,202-225-4921,representative,Representative,,,2013-01-03,AL,Rep.,Representative,http://bachus.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539430,444750,-,Nay,116058,B000213,1949-09-15,5248,Joe,male,Male,400018,Barton,https://www.govtrack.us/congress/members/joe_barton/400018,Linus,Rep. Joe Barton [R-TX6],,,N00005656,27082,"Barton, Joe (Rep.) [R-TX6]",RepJoeBarton,repjoebarton,,[113],True,Representative for Texas's 6th congressional district,6,2015-01-03,42687,,Republican,400018,202-225-2002,representative,Representative,,,2013-01-03,TX,Rep.,Representative,http://joebarton.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539433,444750,-,Nay,116058,B000287,1958-01-26,26567,Xavier,male,Male,400021,Becerra,https://www.govtrack.us/congress/members/xavier_becerra/400021,,Rep. Xavier Becerra [D-CA34],,,N00009774,26754,"Becerra, Xavier (Rep.) [D-CA34]",RepBecerra,XavierBecerra,,[113],True,Representative for California's 34th congressional district,34,2015-01-03,42688,,Democrat,400021,202-225-6235,representative,Representative,,,2013-01-03,CA,Rep.,Representative,http://becerra.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539220,444749,+,Yea,116058,B001250,1951-07-13,1003621,Rob,male,Male,400029,Bishop,https://www.govtrack.us/congress/members/rob_bishop/400029,,Rep. Rob Bishop [R-UT1],,,N00025292,50544,"Bishop, Rob (Rep.) [R-UT1]",RepRobBishop,CongressmanBishop,,[113],True,Representative for Utah's 1st congressional district,1,2015-01-03,42691,,Republican,400029,202-225-0453,representative,Representative,,,2013-01-03,UT,Rep.,Representative,http://robbishop.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539218,444749,+,Yea,116058,B000490,1947-02-04,26194,Sanford,male,Male,400030,Bishop,https://www.govtrack.us/congress/members/sanford_bishop/400030,D.,Rep. Sanford Bishop [D-GA2],Jr.,,N00002674,26817,"Bishop, Sanford (Rep.) [D-GA2]",SanfordBishop,RepSanfordBishop,,[113],True,Representative for Georgia's 2nd congressional district,2,2015-01-03,42689,,Democrat,400030,202-225-3631,representative,Representative,,,2013-01-03,GA,Rep.,Representative,http://bishop.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539219,444749,+,Yea,116058,B001242,1950-06-01,1003587,Timothy,male,Male,400031,Bishop,https://www.govtrack.us/congress/members/timothy_bishop/400031,H.,Rep. Timothy Bishop [D-NY1],,,N00025413,44518,"Bishop, Timothy (Rep.) [D-NY1]",TimBishopNY,timbishop01,,[113],True,Representative for New York's 1st congressional district,1,2015-01-03,42690,,Democrat,400031,202-225-3826,representative,Representative,,,2013-01-03,NY,Rep.,Representative,http://timbishop.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539435,444750,-,Nay,116058,B001243,1952-06-06,31226,Marsha,female,Female,400032,Blackburn,https://www.govtrack.us/congress/members/marsha_blackburn/400032,W.,Rep. Marsha Blackburn [R-TN7],,,N00003105,25186,"Blackburn, Marsha (Rep.) [R-TN7]",MarshaBlackburn,RepMarshaBlackburn,,[113],True,Representative for Tennessee's 7th congressional district,7,2015-01-03,42692,,Republican,400032,202-225-2811,representative,Representative,,,2013-01-03,TN,Rep.,Representative,http://blackburn.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539436,444750,-,Nay,116058,B000574,1948-08-16,43809,Earl,male,Male,400033,Blumenauer,https://www.govtrack.us/congress/members/earl_blumenauer/400033,,Rep. Earl Blumenauer [D-OR3],,,N00007727,367,"Blumenauer, Earl (Rep.) [D-OR3]",BlumenauerMedia,RepBlumenauer,,[113],True,Representative for Oregon's 3rd congressional district,3,2015-01-03,42693,,Democrat,400033,202-225-4811,representative,Representative,,,2013-01-03,OR,Rep.,Representative,http://blumenauer.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539222,444749,+,Yea,116058,B000589,1949-11-17,16740,John,male,Male,400036,Boehner,https://www.govtrack.us/congress/members/john_boehner/400036,A.,Rep. John Boehner [R-OH8],,,N00003675,27015,"Boehner, John (Rep.) [R-OH8]",SpeakerBoehner,johnboehner,,[113],True,Representative for Ohio's 8th congressional district,8,2015-01-03,42694,Speaker,Republican,400036,202-225-6205,representative,Representative,,,2013-01-03,OH,Rep.,Representative,http://boehner.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539225,444749,+,Yea,116058,B000755,1955-04-11,45749,Kevin,male,Male,400046,Brady,https://www.govtrack.us/congress/members/kevin_brady/400046,P.,Rep. Kevin Brady [R-TX8],,,N00005883,361,"Brady, Kevin (Rep.) [R-TX8]",RepKevinBrady,KBrady8,,[113],True,Representative for Texas's 8th congressional district,8,2015-01-03,42698,,Republican,400046,202-225-4901,representative,Representative,,,2013-01-03,TX,Rep.,Representative,http://kevinbrady.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539224,444749,+,Yea,116058,B001227,1945-04-07,55227,Robert,male,Male,400047,Brady,https://www.govtrack.us/congress/members/robert_brady/400047,Alan,Rep. Robert Brady [D-PA1],,,N00001619,2519,"Brady, Robert (Rep.) [D-PA1]",RepBrady,BradyPA01,,[113],True,Representative for Pennsylvania's 1st congressional district,1,2015-01-03,42697,,Democrat,400047,202-225-4731,representative,Representative,,,2013-01-03,PA,Rep.,Representative,http://brady.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539443,444750,-,Nay,116058,B000911,1946-11-11,26192,Corrine,female,Female,400048,Brown,https://www.govtrack.us/congress/members/corrine_brown/400048,,Rep. Corrine Brown [D-FL5],,,N00002713,26797,"Brown, Corrine (Rep.) [D-FL5]",RepCorrineBrown,CongresswomanBrown,,[113],True,Representative for Florida's 5th congressional district,5,2015-01-03,42699,,Democrat,400048,202-225-0123,representative,Representative,,,2013-01-03,FL,Rep.,Representative,http://corrinebrown.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539444,444750,-,Nay,116058,B001248,1950-12-23,1003620,Michael,male,Male,400052,Burgess,https://www.govtrack.us/congress/members/michael_burgess/400052,C.,Rep. Michael Burgess [R-TX26],,,N00025219,50120,"Burgess, Michael (Rep.) [R-TX26]",MichaelCBurgess,michaelcburgessmd,,[113],True,Representative for Texas's 26th congressional district,26,2015-01-03,42701,,Republican,400052,202-225-7772,representative,Representative,,,2013-01-03,TX,Rep.,Representative,http://burgess.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
2014-12-11T21:37:00,30539232,444749,+,Yea,116058,C000059,1953-06-08,26709,Ken,male,Male,400057,Calvert,https://www.govtrack.us/congress/members/ken_calvert/400057,S.,Rep. Ken Calvert [R-CA42],,,N00007099,26777,"Calvert, Ken (Rep.) [R-CA42]",KenCalvert,RepKenCalvert,,[113],True,Representative for California's 42nd congressional district,42,2015-01-03,42702,,Republican,400057,202-225-1986,representative,Representative,,,2013-01-03,CA,Rep.,Representative,http://calvert.house.gov,passage,Passage,house,House,113,2014-12-11T21:37:00,116058,https://www.govtrack.us/congress/votes/113-2014/h563,False,563,"H.R. 83: Consolidated and Further Continuing Appropriations Act, 2015",Concurring in the Senate Amendment in the House,,256160,1/2,Passed,2014,house,house.gov,206,10,219,Concurring in the Senate Amendment,member,Member of Congress
